Date: 2024-11-28 13:22:52s, Time_Cost: 1152s, Epoch: [89/100], Train_PSNR: 37.46, Val_PSNR: 27.20, Val_SSIM: 0.9646
Date: 2024-11-28 13:41:48s, Time_Cost: 1136s, Epoch: [90/100], Train_PSNR: 37.46, Val_PSNR: 26.88, Val_SSIM: 0.9641
Date: 2024-11-28 14:00:39s, Time_Cost: 1130s, Epoch: [91/100], Train_PSNR: 37.48, Val_PSNR: 27.07, Val_SSIM: 0.9636
Date: 2024-11-28 14:19:31s, Time_Cost: 1133s, Epoch: [92/100], Train_PSNR: 37.48, Val_PSNR: 27.19, Val_SSIM: 0.9644
Date: 2024-11-28 14:38:55s, Time_Cost: 1164s, Epoch: [93/100], Train_PSNR: 37.49, Val_PSNR: 27.37, Val_SSIM: 0.9660
Date: 2024-11-28 14:58:19s, Time_Cost: 1164s, Epoch: [94/100], Train_PSNR: 37.49, Val_PSNR: 26.77, Val_SSIM: 0.9611
Date: 2024-11-28 15:17:24s, Time_Cost: 1145s, Epoch: [95/100], Train_PSNR: 37.50, Val_PSNR: 26.95, Val_SSIM: 0.9633
Date: 2024-11-28 15:34:40s, Time_Cost: 1037s, Epoch: [96/100], Train_PSNR: 37.52, Val_PSNR: 26.94, Val_SSIM: 0.9643
Date: 2024-11-28 15:48:11s, Time_Cost: 811s, Epoch: [97/100], Train_PSNR: 37.52, Val_PSNR: 26.90, Val_SSIM: 0.9640
Date: 2024-11-28 16:01:47s, Time_Cost: 816s, Epoch: [98/100], Train_PSNR: 37.53, Val_PSNR: 26.99, Val_SSIM: 0.9643
Date: 2024-11-28 16:14:51s, Time_Cost: 784s, Epoch: [99/100], Train_PSNR: 37.54, Val_PSNR: 27.09, Val_SSIM: 0.9640
Date: 2024-11-28 16:27:56s, Time_Cost: 785s, Epoch: [100/100], Train_PSNR: 37.55, Val_PSNR: 27.09, Val_SSIM: 0.9632
